#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_1 E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
RBBP7	ENSG00000102054	ENSG00000102054:16870872-16871093:source	0.352356758887;-0.352356758887	1.0;1.0	0.631;0.369	0.975;0.025	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chrX	-	16870998-16871805;16871093-16871094	16870872-16871093;16871094-16871804;16871805-16871965	;;	;;	(16871094, 16871804)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/41_T4_N_T4_1.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16870674-16870751:source	0.359521907228;-0.359521907228	1.0;1.0	0.624;0.376	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chrX	-	16870751-16870872;16870751-16870752	16870674-16870751;16870752-16870871;16870872-16871093	;;	;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/41_T4_N_T4_1.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16870872-16871093:target	0.254967672541;6.11569087148e-08;0.00550168630779;-0.268139172224	0.966302045535;5.8664764424e-18;7.64943141587e-06;0.999996309283	0.541;0.025;0.172;0.286	0.790;0.025;0.203;0.025	s|1e1.1o1|1e2.1o1|1e3.3o4|i	False	False	True	3	4	1	chrX	-	16870751-16870872;16870673-16870872;16870245-16870872;16870871-16870872	16870169-16870403;16870539-16870673;16870674-16870751;16870752-16870871;16870872-16871093	;;;;	;;;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/41_T4_N_T4_1.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16871805-16871965:target	0.201486267866;-0.201486267866	0.858468278571;0.858468278571	0.779;0.221	0.975;0.025	s|1e1.2o2|i	False	False	False	1	2	1	chrX	-	16870998-16871805;16871804-16871805	16870872-16871093;16871094-16871804;16871805-16871965	;;	;;	(16871094, 16871804)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/41_T4_N_T4_1.deltapsi_quantify_deltapsi.html#RBBP7
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:target	0.301034445997;-0.301034445997	0.999999999944;0.999999999944	0.681;0.319	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48700665-48700666	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/80_T4_N_T4_1.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48713209-48713357:target	0.302697216399;-0.302697216399	0.999999999678;0.999999999678	0.680;0.320	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48713208-48713209	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/80_T4_N_T4_1.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48697661-48699451:source	0.290853805907;-0.290853805907	0.999999997863;0.999999997863	0.691;0.309	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48699451-48699452	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/80_T4_N_T4_1.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:source	0.311343917834;-0.311343917834	0.999999999949;0.999999999949	0.671;0.329	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48700791-48700792	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/80_T4_N_T4_1.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
ERCC5	ENSG00000134899	ENSG00000134899:103497194-103498704:source	8.20517385805e-11;-0.00024058233178;0.336768962999;-0.296601449077	5.86639836517e-18;6.17480124421e-18;0.9999999999;0.9999999998	0.025;0.028;0.647;0.314	0.025;0.025;0.975;0.025	s|1e1.1o1|2e2.1o1|2e3.1o1|i	True	False	True	3	4	1	chr13	+	103498664-103501468;103498704-103501687;103498704-103504468;103498704-103498705	103497194-103498704;103498705-103501467;103501468-103501544;103501687-103501697;103504468-103504643	;;;;	;;;;	(103498705, 103501467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/98_T4_N_T4_1.deltapsi_quantify_deltapsi.html#ERCC5
ERCC5	ENSG00000134899	ENSG00000134899:103504468-103504643:target	0.177071158156;0.0354964942306;-0.209100352587	0.502531074944;3.05245675141e-07;0.942560634008	0.692;0.076;0.229	0.864;0.135;0.025	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr13	+	103498704-103504468;103501544-103504468;103504467-103504468	103497194-103498704;103501468-103501544;103501698-103504467;103504468-103504643	;;;	;;;	(103501698, 103504467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH1//summaries/98_T4_N_T4_1.deltapsi_quantify_deltapsi.html#ERCC5
