#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_p_A E(PSI)	Th17_p_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
FOXP4	ENSG00000137166	ENSG00000137166:41557509-41557592:source	-0.413281823984;0.413281823984	0.985903809029;0.985903809029	0.463;0.537	0.057;0.943	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr6	+	41557592-41557701;41557592-41557737	41557509-41557592;41557701-41557908;41557701-41557908	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/11_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#FOXP4
FAM13B	ENSG00000031003	ENSG00000031003:137281591-137281686:source	0.416064150922;-0.416064150922	0.989690158688;0.989690158688	0.099;0.901	0.506;0.494	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr5	-	137281686-137284644;137281686-137281917	137281591-137281686;137281917-137282084;137284644-137284873	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/0_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#FAM13B
ATXN7L3	ENSG00000087152	ENSG00000087152:42275388-42275747:source	-0.254591981351;-0.000708336720792;0.000269229222103;-8.27915302241e-07;0.248809003429	0.844064222809;1.3571582448e-05;8.27440811586e-09;3.70038172782e-11;0.865038667245	0.855;0.069;0.025;0.025;0.070	0.594;0.041;0.042;0.025;0.317	t|1e0|2e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1|3e0|i	False	True	True	4	5	1	chr17	-	42275498-42276864;42275498-42276432;42275498-42275921;42275498-42275789;42275747-42275748	42275388-42275747;42275748-42275788;42275789-42275879;42275921-42275931;42276432-42276574;42276864-42277220	;;;;;	;;;;;	(42275748, 42275788)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/3_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ATXN7L3
MAP2K7	ENSG00000076984	ENSG00000076984:7968728-7968953:source	5.33845201321e-05;0.221400806888;-0.242045201102	9.44863615031e-07;0.728357432079;0.772302366795	0.027;0.050;0.941	0.032;0.306;0.668	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr19	+	7968953-7969336;7968953-7970693;7968953-7974640	7968728-7968953;7969336-7969433;7970693-7971951;7974640-7974781	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/2_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#MAP2K7
HTT	ENSG00000197386	ENSG00000197386:3201459-3201666:source	0.206697274793;-0.206697274793	0.708857262169;0.708857262169	0.031;0.969	0.238;0.762	s|1e1.1o2|1e2.1o1	False	False	True	2	3	1	chr4	+	3201666-3204704;3201666-3205734	3201459-3201666;3204704-3204793;3205734-3205875	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/23_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#HTT
SP140	ENSG00000079263	ENSG00000079263:231109703-231109795:source	-0.0067276112668;-0.00736929495033;-0.00175194097273;-0.132308511967;0.41943620977;-4.54268387307e-05	0.00221847723347;0.0110125310654;4.58622086091e-06;0.333052710781;0.991449981722;6.20999565003e-09	0.140;0.265;0.076;0.199;0.293;0.029	0.059;0.176;0.034;0.034;0.703;0.025	s|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1	True	True	True	6	4	1	chr2	+	231109786-231110578;231109786-231112631;231109786-231113600;231109795-231110578;231109795-231112631;231109795-231113600	231109703-231109795;231110578-231110655;231110578-231110655;231112631-231112780;231112631-231112780;231113600-231113683;231113600-231113683	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/2_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#SP140
SP140	ENSG00000079263	ENSG00000079263:231112631-231112780:target	-0.0163796212791;0.272925725328;-0.0587244297241	0.0285768949142;0.834412513976;0.174031583697	0.263;0.285;0.452	0.147;0.575;0.278	t|1e1.1o2|1e1.2o2|1e2.1o1	True	False	True	3	3	1	chr2	+	231109786-231112631;231109795-231112631;231110655-231112631	231109703-231109795;231109703-231109795;231110578-231110655;231112631-231112780	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/2_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#SP140
ARF6	ENSG00000165527	ENSG00000165527:50359974-50361490:target	-0.331669509169;0.331669509169	0.94473800524;0.94473800524	0.540;0.460	0.211;0.789	t|1e1.1o1|i	False	False	False	1	2	1	chr14	+	50359875-50359974;50359973-50359974	50359810-50359875;50359876-50359973;50359974-50361490	;;	;;	(50359876, 50359973)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/17_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ARF6
PAN2	ENSG00000135473	ENSG00000135473:56713062-56713273:target	-0.189494188454;-2.45963075721e-05;-2.45963075721e-05;0.218721152009	0.537829562693;2.45384432625e-06;2.45384432625e-06;0.616331086964	0.824;0.028;0.028;0.155	0.527;0.026;0.026;0.463	s|1e0|2e1.1o1|2e2.2o2|3e1.1o1|i	True	True	True	3	3	1	chr12	-	56712965-56713092;56712218-56713092;56712965-56713062;56713061-56713062	56712021-56712358;56712872-56712965;56712872-56712965;56712966-56713061;56713062-56713273	;;;;	;;;;	(56712966, 56713061)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/11_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#PAN2
PFKFB3	ENSG00000170525	ENSG00000170525:6255586-6255711:target	-0.506932172171;-7.18614305902e-06;0.51337956376	0.999975868045;1.12220964055e-08;0.999982712537	0.574;0.026;0.419	0.080;0.025;0.920	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr10	+	6186976-6255586;6188459-6255586;6245299-6255586	6186881-6186976;6188279-6188459;6244829-6245299;6255586-6255711	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/19_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#PFKFB3
PCGF5	ENSG00000180628	ENSG00000180628:92982446-92982740:source	0.292325363486;-0.0985269878138;-0.0190454741185	0.84705312736;0.30404206358;0.00484554574043	0.388;0.504;0.108	0.699;0.295;0.025	s|1e0|2e1.1o1|2e2.1o1|2e3.1o1	True	False	True	3	4	1	chr10	+	92982740-92987094;92982740-93000241;92982740-93008262	92982446-92982740;92987094-92987717;93000241-93000337;93008262-93008317	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/21_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#PCGF5
GOLGA4	ENSG00000144674	ENSG00000144674:37396592-37396678:source	-0.276967608706;0.276967608706	0.728495425687;0.728495425687	0.736;0.264	0.395;0.605	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr3	+	37396678-37402734;37396678-37407571	37396592-37396678;37402734-37402796;37407571-37408242	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/13_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#GOLGA4
GOLGA4	ENSG00000144674	ENSG00000144674:37407571-37408242:target	-2.93963176773e-05;0.222454806478;-0.209330275875	2.54717616412e-06;0.594219222761;0.56274772103	0.029;0.281;0.707	0.026;0.602;0.391	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr3	+	37323763-37407571;37396678-37407571;37402796-37407571	37323583-37323763;37396592-37396678;37402734-37402796;37407571-37408242	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/13_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#GOLGA4
GPAT2	ENSG00000186281	ENSG00000186281:96690521-96690591:target	0.327346047312;-0.327346047312	0.939845300665;0.939845300665	0.642;0.358	0.965;0.035	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr2	-	96690433-96690521;96690415-96690521	96690175-96690433;96690175-96690433;96690521-96690591	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/22_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#GPAT2
POGZ	ENSG00000143442	ENSG00000143442:151403142-151403317:source	-0.20410084955;0.202951658592;-1.18638824132e-05	0.608929424577;0.601916914914;7.86356970586e-07	0.363;0.627;0.027	0.087;0.905;0.026	t|1e1.2o2|1e2.1o2|1e3.1o1	False	False	True	3	4	1	chr1	-	151403317-151414557;151403317-151413404;151403317-151406225	151403142-151403317;151406225-151406235;151413319-151413562;151414557-151414681	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/13_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#POGZ
RPS27	ENSG00000177954	ENSG00000177954:153963390-153963510:source	-0.264315392804;0.264315392804	0.760128553873;0.760128553873	0.744;0.256	0.437;0.563	s|1e1.1o1|i	False	False	False	1	2	1	chr1	+	153963510-153963591;153963510-153963511	153963390-153963510;153963511-153963590;153963591-153963699	;;	;;	(153963511, 153963590)	file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/21_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#RPS27
RBM26	ENSG00000139746	ENSG00000139746:79885962-79889128:source	0.00235959746159;0.238478703174;-0.0140164669467;-0.236079176263	0.00298931828221;0.663448277753;0.0190738328848;0.775813738741	0.122;0.470;0.148;0.260	0.177;0.782;0.039;0.026	t|1e0|1e1.1o1|1e2.1o1|2e0|2e1.1o1|2e2.1o1	True	True	True	4	3	1	chr13	-	79889128-79896484;79889128-79892956;79889125-79896484;79889125-79892956	79885962-79889128;79892956-79893014;79892956-79893014;79896484-79896597;79896484-79896597	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH17p//summaries/12_Th1_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#RBM26
