#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_e_A E(PSI)	Th2_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
TAF2	ENSG00000064313	ENSG00000064313:120758945-120759174:target	0.211106705228;-0.211106705228	0.681658517753;0.681658517753	0.056;0.944	0.297;0.703	s|1e0|2e1.1o1|2e2.2o2	True	False	True	2	3	0	chr8	-	120757276-120758945;120756633-120758945	120756528-120756826;120757121-120757276;120758945-120759174	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/2_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TAF2
PDPR	ENSG00000090857	ENSG00000090857:70182367-70182494:source	0.204263158409;-0.204263158409	0.648271345294;0.648271345294	0.664;0.336	0.912;0.088	s|1e1.1o1|1e2.1o1|2e0	True	False	True	2	3	0	chr16	+	70182456-70187294;70182456-70190378	70182367-70182494;70187294-70187476;70190378-70195203	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/5_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PDPR
PDPR	ENSG00000090857	ENSG00000090857:70176374-70176589:target	0.202657943345;-0.201577603434;-7.63904610341e-07	0.666955780356;0.66603790307;7.56732961708e-10	0.030;0.967;0.025	0.238;0.758;0.025	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr16	+	70176292-70176374;70176292-70176456;70176373-70176374	70176137-70176292;70176137-70176292;70176293-70176373;70176374-70176589	;;;	;;;	(70176293, 70176373)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/5_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PDPR
CCDC18	ENSG00000122483	ENSG00000122483:93744020-93744287:target	-0.366797388232;0.366797388232	0.932281378862;0.932281378862	0.925;0.075	0.550;0.450	t|1e1.1o2|1e2.1o1	False	False	True	2	3	0	chr1	+	93730458-93744020;93736371-93744020	93730258-93730504;93735904-93736371;93744020-93744287	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/13_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#CCDC18
TP53INP1	ENSG00000164938	ENSG00000164938:95938200-95942956:source	0.28852176796;-0.303672476841;3.5424354225e-05	0.756253409905;0.788386516196;2.39554839975e-06	0.429;0.566;0.025	0.772;0.215;0.028	t|1e1.1o2|1e3.1o1|2e2.1o1	False	True	True	3	4	0	chr8	-	95942956-95952088;95942956-95944298;95942782-95951915	95938200-95942956;95944298-95944335;95951915-95951919;95952084-95952448	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/26_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TP53INP1
SP140	ENSG00000079263	ENSG00000079263:231120167-231120247:target	-0.0564242667728;-0.0371525132061;0.286013443235	0.156056780948;0.080852255406;0.873258795116	0.342;0.266;0.392	0.185;0.128;0.687	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr2	+	231113683-231120167;231115776-231120167;231118132-231120167	231113600-231113683;231115696-231115776;231118031-231118132;231120167-231120247	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/3_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SP140
SP140	ENSG00000079263	ENSG00000079263:231113600-231113683:source	0.213309939342;-9.69994475885e-06;-0.0448857292018;-0.0219449899084	0.715250835251;3.34560680013e-11;0.0966433024442;0.00266948282071	0.609;0.026;0.265;0.111	0.838;0.025;0.136;0.028	s|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o1	False	False	True	4	5	1	chr2	+	231113683-231115696;231113683-231118031;231113683-231120167;231113683-231134247	231113600-231113683;231115696-231115776;231118031-231118132;231120167-231120247;231134247-231134333	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/3_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SP140
ZFPL1	ENSG00000162300	ENSG00000162300:64852587-64852698:source	0.267660660605;2.30919495437e-06;-0.266831184015	0.860212126851;5.98634364255e-07;0.866922644806	0.701;0.027;0.289	0.971;0.027;0.026	s|1e1.2o2|1e2.1o2|i	False	False	True	2	3	1	chr11	+	64852698-64853887;64852698-64854178;64852698-64852699	64852587-64852698;64852699-64852758;64853811-64854080;64854178-64854264	;;;	;;;	(64852699, 64852758)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/25_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ZFPL1
PAN2	ENSG00000135473	ENSG00000135473:56717821-56717971:target	0.245470020804;-0.245470020804	0.71352194434;0.71352194434	0.628;0.372	0.931;0.069	s|1e1.1o2|2e1.1o2	True	True	False	2	2	0	chr12	-	56717697-56717833;56717697-56717821	56717591-56717697;56717591-56717697;56717821-56717971	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/17_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PAN2
ASNSD1	ENSG00000138381	ENSG00000138381:190530083-190530177:target	0.000171391759637;2.13785131993e-06;0.210088827531;2.13785131993e-06;-0.281072074827	4.96977035479e-06;5.479004954e-08;0.624320846202;5.479004954e-08;0.819079078412	0.025;0.025;0.594;0.025;0.394	0.037;0.026;0.868;0.026;0.089	t|1e2.1o1|2e1.1o1|2e2.1o1|3e1.1o1|3e2.1o1	True	True	True	5	3	0	chr2	+	190528680-190530083;190526336-190530102;190528680-190530102;190526336-190530148;190528680-190530148	190526111-190526336;190526111-190526336;190528627-190528680;190528627-190528680;190528627-190528680;190530083-190530177	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/18_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ASNSD1
TBC1D31	ENSG00000156787	ENSG00000156787:124089351-124089497:source	0.21756955507;-0.285434846334;0.00041841414626	0.674764244689;0.841116019046;5.45194836771e-05	0.047;0.947;0.026	0.307;0.644;0.051	s|1e1.1o1|1e2.2o2|1e3.1o1	False	False	True	3	4	1	chr8	+	124089497-124089615;124089497-124094942;124089497-124096402	124089351-124089497;124089615-124089625;124094748-124095057;124096402-124096580	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/23_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TBC1D31
TBC1D31	ENSG00000156787	ENSG00000156787:124113047-124113327:source	-0.254823001677;0.254823001677	0.817034623504;0.817034623504	0.302;0.698	0.032;0.968	s|1e1.1o1|1e2.1o1|2e0	True	False	True	2	3	0	chr8	+	124113247-124114487;124113247-124117528	124113047-124113327;124114487-124116441;124117528-124117704	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/23_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TBC1D31
SETD5	ENSG00000168137	ENSG00000168137:9512143-9512613:target	-0.299088890573;0.299088890573	0.962563087829;0.962563087829	0.966;0.034	0.674;0.326	t|1e1.1o5|1e2.1o1|2e0	False	True	True	2	3	0	chr3	+	9506356-9512143;9510259-9512143	9506109-9506638;9510203-9510259;9512143-9512613	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/27_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SETD5
BECN1	ENSG00000126581	ENSG00000126581:40970805-40970895:target	-0.307573098695;-2.12327814767e-06;0.306033298108	0.968408368298;2.85899174079e-10;0.968941487052	0.970;0.025;0.028	0.670;0.025;0.327	s|1e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	-	40970704-40970811;40970698-40970805;40970804-40970805	40970669-40970704;40970669-40970704;40970705-40970804;40970805-40970895	;;;	;;;	(40970705, 40970804)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/14_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#BECN1
WHAMM	ENSG00000156232	ENSG00000156232:83486672-83486841:target	-0.207306601995;0.207306601995	0.637323885006;0.637323885006	0.969;0.031	0.720;0.280	t|1e0|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr15	+	83485594-83486672;83486454-83486672	83485444-83485594;83486444-83486454;83486672-83486841	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/23_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#WHAMM
RABGGTB	ENSG00000137955	ENSG00000137955:76255837-76255959:target	-3.58834551108e-05;-0.368532049237;0.380186418652	2.94861569461e-06;0.887610045394;0.907015774436	0.029;0.835;0.151	0.026;0.446;0.546	t|1e1.1o1|1e2.2o3|i	False	False	True	2	3	1	chr1	+	76255041-76255837;76255742-76255837;76255836-76255837	76254844-76255041;76255637-76255798;76255799-76255836;76255837-76255959	;;;	;;;	(76255799, 76255836)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/18_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RABGGTB
TNIK	ENSG00000154310	ENSG00000154310:170825809-170825951:target	0.266527160405;-0.263172864777;-3.58095586357e-06	0.794795262985;0.785247858427;3.18555593826e-09	0.173;0.821;0.025	0.464;0.531;0.025	s|1e1.1o1|1e2.2o2|2e2.2o2	True	True	True	3	3	0	chr3	-	170824995-170825854;170819422-170825854;170819422-170825809	170819238-170819861;170819238-170819861;170824972-170824995;170825809-170825951	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/22_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TNIK
PCF11	ENSG00000165494	ENSG00000165494:82888127-82888246:source	0.233444372148;-0.233444372148	0.807700462728;0.807700462728	0.740;0.260	0.972;0.028	s|1e1.1o2|1e1.2o2	False	True	False	2	2	1	chr11	+	82888246-82888756;82888246-82888759	82888127-82888246;82888756-82888861;82888756-82888861	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/26_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PCF11
