#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_p_A E(PSI)	Th1_p_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
FECH	ENSG00000066926	ENSG00000066926:55221491-55221656:target	-0.226919603963;0.226919603963	0.653180506006;0.653180506006	0.956;0.044	0.681;0.319	s|1e1.1o1|1e2.1o1|2e0	True	False	True	2	3	1	chr18	-	55218606-55221492;55218078-55221492	55215515-55218078;55218407-55218606;55221491-55221656	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/4_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#FECH
MTRF1L	ENSG00000112031	ENSG00000112031:153308497-153311230:source	-0.282173852877;0.282173852877	0.749891430491;0.749891430491	0.438;0.562	0.101;0.899	t|1e1.1o1|1e2.2o2	False	False	True	2	3	0	chr6	-	153311230-153313992;153311230-153312320	153308497-153311230;153312320-153312551;153313992-153314109	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/17_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#MTRF1L
RBM4	ENSG00000173933	ENSG00000173933:66406088-66406364:source	-0.0840046507432;-9.16914860605e-06;-0.00886807982118;0.258308648074	0.241825771491;4.05265051283e-08;0.0194802448382;0.868962590169	0.284;0.026;0.678;0.036	0.103;0.025;0.598;0.294	s|1e1.2o3|1e1.3o3|2e1.2o3|i	True	True	False	3	2	1	chr11	+	66406223-66407171;66406223-66407310;66406364-66407171;66406364-66406365	66406088-66406364;66406365-66406405;66406406-66408663;66406406-66408663;66406406-66408663	;;;;	;;;;	(66406365, 66406405)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/53_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#RBM4
SNHG8	ENSG00000269893	ENSG00000269893:119200544-119200586:target	-2.84023625506e-05;-0.290255755553;0.309494434287	9.98529423189e-13;0.929015575428;0.962056334891	0.026;0.849;0.130	0.025;0.564;0.432	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr4	+	119199947-119200544;119200292-119200544;119200543-119200544	119199864-119199947;119200099-119200292;119200476-119200543;119200544-119200586	;;;	;;;	(119200476, 119200543)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/67_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SNHG8
SNHG8	ENSG00000269893	ENSG00000269893:119200099-119200292:source	-0.472462982836;0.472462982836	0.999989919107;0.999989919107	0.892;0.108	0.432;0.568	s|1e1.1o1|i	False	False	False	1	2	1	chr4	+	119200292-119200544;119200292-119200293	119200099-119200292;119200293-119200344;119200544-119200586	;;	;;	(119200293, 119200344)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/67_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#SNHG8
FBRSL1	ENSG00000112787	ENSG00000112787:133084739-133084936:source	-0.247121300732;0.247121300732	0.753874836337;0.753874836337	0.413;0.587	0.128;0.872	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr12	+	133084936-133085752;133084936-133102320	133084739-133084936;133085752-133088536;133102320-133102409	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/18_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#FBRSL1
COG1	ENSG00000166685	ENSG00000166685:71203320-71203395:source	0.00726979738051;-0.384810981108;0.218577644727	0.00386260888017;0.928694427595;0.610667819823	0.026;0.705;0.288	0.101;0.314;0.585	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr17	+	71203395-71203841;71203395-71204453;71203395-71203396	71203320-71203395;71203396-71203840;71203841-71204070;71204453-71204646	;;;	;;;	(71203396, 71203840)	file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/47_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#COG1
EIF4A1	ENSG00000161960	ENSG00000161960:7477162-7477626:target	0.230229036595;-0.00104774954844;-0.115323771531;-4.07042928012e-05;-4.07042928012e-05	0.705419893206;0.00021978055832;0.287562659433;2.22298620714e-06;2.22298620714e-06	0.733;0.056;0.197;0.027;0.027	0.973;0.025;0.025;0.025;0.025	t|1e0|2e0|3e1.1o1|3e2.1o2|3e2.2o2|3e3.1o1|4e1.1o1	True	True	True	5	4	0	chr17	+	7476182-7477578;7476851-7477578;7476865-7477578;7477094-7477578;7476182-7477584	7476024-7476182;7476024-7476182;7476553-7476865;7476553-7476865;7477040-7477094;7477162-7477626	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/44_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#EIF4A1
PHF14	ENSG00000106443	ENSG00000106443:11014462-11014572:source	0.289488491842;-0.290012590716;2.77912457884e-05	0.902185624038;0.916509520409;1.9461939901e-06	0.678;0.313;0.026	0.968;0.028;0.028	s|1e1.1o1|1e2.1o1|1e3.2o2	False	False	True	3	4	1	chr7	+	11014572-11021999;11014572-11030330;11014572-11150977	11014462-11014572;11021999-11022786;11030330-11030474;11150608-11151094	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/14_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#PHF14
RPL19	ENSG00000108298	ENSG00000108298:37356536-37356996:source	0.24018606041;-0.000181126263401;1.67633606558e-05;-0.213250276608	0.738739125349;6.52549650174e-07;2.05835700843e-07;0.671800525775	0.608;0.032;0.025;0.361	0.884;0.026;0.026;0.103	s|1e1.2o3|1e1.3o3|2e1.2o3|3e1.2o3	True	True	False	4	2	0	chr17	+	37356602-37357466;37356602-37357475;37356731-37357466;37356996-37357466	37356536-37356996;37357385-37357572;37357385-37357572;37357385-37357572;37357385-37357572	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_PolyAvTotal//summaries/15_Th1_p_A_Th1_p_r.deltapsi_quantify_deltapsi.html#RPL19
