#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_p_A E(PSI)	Th1_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
TRA2A	ENSG00000164548	ENSG00000164548:23561326-23561459:source	-0.453572640921;1.65011193958e-07;-2.6378922085e-06;1.14789150354e-05;0.000178482700966;0.0130120234978;0.343725036616	0.999889463535;1.48524134621e-13;3.91596865318e-13;4.44155983041e-11;1.45408181506e-08;0.00105419662824;0.988399717643	0.812;0.025;0.025;0.025;0.025;0.029;0.137	0.370;0.025;0.025;0.026;0.036;0.104;0.473	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e4.3o3|i	True	False	True	6	5	1	chr7	-	23561459-23571408;23561459-23571036;23561459-23570800;23561459-23561973;23561459-23561751;23561459-23561740;23561459-23561460	23561326-23561459;23561460-23561739;23561740-23562051;23561740-23562051;23561740-23562051;23570800-23570889;23571036-23571299;23571408-23571660	;;;;;;;	;;;;;;;	(23561460, 23561739)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/41_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#TRA2A
TRA2A	ENSG00000164548	ENSG00000164548:23571408-23571660:target	-0.000369315812464;0.293843971875;-0.272603222296	4.42419860006e-07;0.91684378993;0.857792863535	0.057;0.174;0.769	0.044;0.466;0.489	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr7	-	23570889-23571408;23562051-23571408;23561459-23571408	23561326-23561459;23561740-23562051;23570800-23570889;23571408-23571660	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/41_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#TRA2A
FBRSL1	ENSG00000112787	ENSG00000112787:133084739-133084936:source	-0.211411922237;0.211411922237	0.702347826117;0.702347826117	0.418;0.582	0.188;0.812	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr12	+	133084936-133085752;133084936-133102320	133084739-133084936;133085752-133088536;133102320-133102409	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/17_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#FBRSL1
DDHD1	ENSG00000100523	ENSG00000100523:53558503-53558650:source	-0.227717245372;0.227717245372	0.817040396556;0.817040396556	0.247;0.753	0.025;0.975	t|1e1.1o2|1e2.2o2	False	False	True	2	3	1	chr14	-	53558650-53570401;53558650-53560034	53558503-53558650;53560034-53560569;53570017-53570574	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/11_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#DDHD1
DDHD1	ENSG00000100523	ENSG00000100523:53570017-53570574:target	0.0224486103495;-0.0137960577839;0.235558368651;-0.262671491628	0.00928191768096;0.0034128174753;0.761407104528;0.93137797693	0.025;0.111;0.604;0.281	0.111;0.029;0.863;0.025	s|1e1.1o1|1e2.1o1|1e3.3o3|1e4.1o1|2e0	True	False	True	4	5	1	chr14	-	53569769-53570401;53562936-53570401;53560162-53570401;53558650-53570401	53558503-53558650;53560034-53560569;53562835-53562936;53569749-53569769;53570017-53570574	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/11_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#DDHD1
COG1	ENSG00000166685	ENSG00000166685:71189129-71189523:source	0.295764213436;-0.295764213436	0.764236724485;0.764236724485	0.132;0.868	0.484;0.516	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr17	+	71189523-71192626;71189523-71192646	71189129-71189523;71192626-71192890;71192626-71192890	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/42_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#COG1
LEF1	ENSG00000138795	ENSG00000138795:109087814-109087953:target	-0.33249125879;0.33249125879	0.968753988023;0.968753988023	0.367;0.633	0.042;0.958	s|1e1.4o4|i	False	False	False	1	2	1	chr4	-	109086319-109087814;109087813-109087814	109086253-109086413;109087458-109087813;109087814-109087953	;;	;;	(109087458, 109087813)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/30_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#LEF1
STX2	ENSG00000111450	ENSG00000111450:131291527-131291635:target	0.101661543973;0.304490686066;-0.580875333859	0.293574020464;0.947932217077;0.999853569423	0.331;0.027;0.659	0.582;0.325;0.093	s|1e1.1o2|1e1.2o2|1e2.1o2	False	True	True	3	3	1	chr12	-	131289088-131291527;131289085-131291527;131286033-131291527	131285960-131286033;131288502-131289088;131288502-131289088;131291527-131291635	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/16_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#STX2
SP140	ENSG00000079263	ENSG00000079263:231109703-231109795:source	-0.0552603758744;-0.00386492005431;-0.00407357067689;-0.0113992410517;0.323579833758;5.80515617546e-05	0.0256601301823;0.00270562291458;1.07019958004e-05;0.00921244592674;0.965401954365;1.82598363289e-09	0.141;0.261;0.076;0.202;0.292;0.030	0.030;0.202;0.026;0.114;0.610;0.033	s|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1	True	True	True	6	4	1	chr2	+	231109786-231110578;231109786-231112631;231109786-231113600;231109795-231110578;231109795-231112631;231109795-231113600	231109703-231109795;231110578-231110655;231110578-231110655;231112631-231112780;231112631-231112780;231113600-231113683;231113600-231113683	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/7_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#SP140
SP140	ENSG00000079263	ENSG00000079263:231112631-231112780:target	-0.00740212978286;0.25126854514;-0.113033012621	0.00706592432309;0.825676485755;0.346031994	0.259;0.290;0.450	0.183;0.550;0.267	t|1e1.1o2|1e1.2o2|1e2.1o1	True	False	True	3	3	1	chr2	+	231109786-231112631;231109795-231112631;231110655-231112631	231109703-231109795;231109703-231109795;231110578-231110655;231112631-231112780	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/7_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#SP140
ARFGEF1	ENSG00000066777	ENSG00000066777:68112164-68112748:target	-0.275029863763;0.275029863763	0.883007010297;0.883007010297	0.921;0.079	0.644;0.356	s|1e1.1o1|1e2.1o1|2e0	True	False	True	2	3	0	chr8	-	68111333-68112631;68087807-68112631	68085747-68087807;68109884-68111333;68112164-68112748	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/5_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#ARFGEF1
METTL17	ENSG00000165792	ENSG00000165792:21463276-21463392:target	-0.215313130962;0.215313130962	0.710630450176;0.710630450176	0.674;0.326	0.445;0.555	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr14	+	21463060-21463324;21463275-21463276	21462953-21463060;21463061-21463275;21463276-21463392	;;	;;	(21463061, 21463275)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/42_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#METTL17
METTL17	ENSG00000165792	ENSG00000165792:21462953-21463060:source	-0.309754526376;0.309754526376	0.96443357302;0.96443357302	0.795;0.205	0.492;0.508	s|1e1.2o2|i	False	False	False	1	2	1	chr14	+	21463060-21463324;21463060-21463061	21462953-21463060;21463061-21463275;21463276-21463392	;;	;;	(21463061, 21463275)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/42_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#METTL17
TTC14	ENSG00000163728	ENSG00000163728:180326489-180326598:target	-0.019741427277;-0.0177343432017;-0.000413151825375;0.223420923371	0.0380926179602;0.0279509265242;1.07529167405e-06;0.711696573111	0.274;0.238;0.046;0.442	0.163;0.130;0.025;0.695	t|1e1.1o1|1e2.1o1|2e1.1o1|i	True	True	True	3	3	1	chr3	+	180325553-180326489;180326059-180326489;180325553-180326506;180326488-180326489	180325436-180325553;180325436-180325553;180325951-180326059;180326060-180326488;180326489-180326598	;;;;	;;;;	(180326060, 180326488)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/40_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#TTC14
CENPT	ENSG00000102901	ENSG00000102901:67866131-67866257:source	-0.000564124631079;1.41125705381e-05;0.238950495826;-0.22291613255	6.79390409416e-06;4.73216026416e-10;0.805599100409;0.76685874487	0.055;0.025;0.696;0.244	0.033;0.026;0.937;0.026	t|1e1.3o4|2e1.3o4|3e1.3o4|4e0|i	True	True	False	3	2	1	chr16	-	67866257-67866358;67866253-67866358;67866218-67866358;67866257-67866258	67866131-67866257;67866258-67866294;67866295-67866448;67866295-67866448;67866295-67866448	;;;;	;;;;	(67866258, 67866294)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/12_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#CENPT
CENPT	ENSG00000102901	ENSG00000102901:67862377-67862508:target	-1.72751186239e-06;0.242016473998;-0.241419220749	3.22736880875e-10;0.832882612951;0.836024423585	0.025;0.716;0.279	0.025;0.957;0.039	s|1e1.2o2|2e1.1o2|i	True	True	False	2	2	1	chr16	-	67862252-67862412;67862293-67862377;67862376-67862377	67862060-67862293;67862060-67862293;67862294-67862376;67862377-67862508	;;;	;;;	(67862294, 67862376)	file:///data/THelper/./voila/dpsi/TH1p_TH1e//summaries/12_Th1_p_A_Th1_e_A.deltapsi_quantify_deltapsi.html#CENPT
