#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_e_A E(PSI)	Th2_e_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
ID2	ENSG00000115738	ENSG00000115738:8822910-8823137:target	-0.26766103961;0.26766103961	0.937537423788;0.937537423788	0.890;0.110	0.629;0.371	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr2	+	8822643-8822973;8822909-8822910	8821984-8822643;8822644-8822909;8822910-8823137	;;	;;	(8822644, 8822909)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/14_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#ID2
ID2	ENSG00000115738	ENSG00000115738:8821984-8822643:source	-0.203357055792;0.203357055792	0.680422793568;0.680422793568	0.870;0.130	0.665;0.335	s|1e1.2o2|i	False	False	False	1	2	1	chr2	+	8822643-8822973;8822643-8822644	8821984-8822643;8822644-8822909;8822910-8823137	;;	;;	(8822644, 8822909)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/14_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#ID2
HNRNPH3	ENSG00000096746	ENSG00000096746:70098563-70098983:target	1.45107876041e-05;0.310348863945;1.3839450621e-05;-0.302385767713	7.00950212548e-08;0.89930544797;7.00968896179e-08;0.881346411886	0.025;0.206;0.025;0.777	0.026;0.521;0.026;0.467	t|1e0|2e1.1o1|2e2.1o4|2e2.2o4|2e2.4o4	True	True	True	4	3	1	chr10	+	70097090-70098897;70098399-70098897;70098426-70098897;70098444-70098897	70096563-70097090;70098097-70098444;70098097-70098444;70098097-70098444;70098563-70098983	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/7_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#HNRNPH3
RBM4	ENSG00000173933	ENSG00000173933:66406088-66406364:source	0.0039150399432;4.21361301208e-06;-0.280333762705;0.232411885797	0.00697031851151;6.11370759484e-09;0.804117559345;0.789833267815	0.271;0.025;0.722;0.025	0.331;0.025;0.412;0.252	s|1e1.2o3|1e1.3o3|2e1.2o3|i	True	True	False	3	2	1	chr11	+	66406223-66407171;66406223-66407310;66406364-66407171;66406364-66406365	66406088-66406364;66406365-66406405;66406406-66408663;66406406-66408663;66406406-66408663	;;;;	;;;;	(66406365, 66406405)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/40_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#RBM4
SNHG8	ENSG00000269893	ENSG00000269893:119200099-119200292:source	-0.322673297472;0.322673297472	0.960147187699;0.960147187699	0.853;0.147	0.538;0.462	s|1e1.1o1|i	False	False	False	1	2	1	chr4	+	119200292-119200544;119200292-119200293	119200099-119200292;119200293-119200344;119200544-119200586	;;	;;	(119200293, 119200344)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/52_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#SNHG8
CCDC18	ENSG00000122483	ENSG00000122483:93677658-93677818:source	-0.291692993288;0.291692993288	0.822234768;0.822234768	0.889;0.111	0.569;0.431	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr1	+	93677818-93680300;93677818-93680303	93677658-93677818;93680300-93680523;93680300-93680523	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/17_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#CCDC18
TLDC1	ENSG00000140950	ENSG00000140950:84531310-84531717:target	-4.02764977588e-05;-0.217648318519;0.230708356506	1.83206618017e-06;0.73810203492;0.787576971481	0.028;0.968;0.027	0.026;0.734;0.259	s|1e0|2e1.1o1|2e2.1o1|3e0|i	True	False	True	2	3	1	chr16	-	84531253-84531540;84529519-84531540;84531309-84531310	84529289-84529519;84531025-84531253;84531254-84531309;84531310-84531717	;;;	;;;	(84531254, 84531309)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/27_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#TLDC1
LRRC75A-AS1	ENSG00000175061	ENSG00000175061:16342895-16343017:source	-1.40020286681e-06;-0.438824655563;0.445954970283	1.10221987787e-16;0.999905526404;0.999957443023	0.025;0.845;0.141	0.025;0.417;0.576	s|1e0|2e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	+	16343017-16343425;16343017-16343499;16343017-16343018	16342895-16343017;16343018-16343349;16343425-16343567;16343425-16343567	;;;	;;;	(16343018, 16343349)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/41_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#LRRC75A-AS1
SP140	ENSG00000079263	ENSG00000079263:231120167-231120247:target	0.221531076127;0.00134555657191;-0.259030429132	0.739137921504;0.000150447181367;0.826370755886	0.185;0.128;0.687	0.424;0.159;0.416	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr2	+	231113683-231120167;231115776-231120167;231118132-231120167	231113600-231113683;231115696-231115776;231118031-231118132;231120167-231120247	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/5_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#SP140
SP140	ENSG00000079263	ENSG00000079263:231113600-231113683:source	-0.323786228385;0.000482037518255;0.288451949795;-3.9128834221e-05	0.974945227686;1.70739445312e-08;0.938937540826;7.43232458626e-11	0.835;0.025;0.138;0.028	0.519;0.043;0.422;0.026	s|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o1	False	False	True	4	5	1	chr2	+	231113683-231115696;231113683-231118031;231113683-231120167;231113683-231134247	231113600-231113683;231115696-231115776;231118031-231118132;231120167-231120247;231134247-231134333	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/5_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#SP140
ZFPL1	ENSG00000162300	ENSG00000162300:64852587-64852698:source	-0.268653904224;2.22575967001e-05;0.265920945267	0.832732423116;2.31933115442e-06;0.833446340938	0.971;0.027;0.026	0.696;0.028;0.291	s|1e1.2o2|1e2.1o2|i	False	False	True	2	3	1	chr11	+	64852698-64853887;64852698-64854178;64852698-64852699	64852587-64852698;64852699-64852758;64853811-64854080;64854178-64854264	;;;	;;;	(64852699, 64852758)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/34_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#ZFPL1
ASNSD1	ENSG00000138381	ENSG00000138381:190530083-190530177:target	-0.000242630996627;1.20437512742e-07;-0.266654733602;0.000229940557665;0.284888454427	1.11159666022e-05;1.5466932252e-07;0.746896805846;5.12271052494e-06;0.813336111565	0.038;0.026;0.864;0.026;0.093	0.026;0.026;0.552;0.038;0.405	t|1e2.1o1|2e1.1o1|2e2.1o1|3e1.1o1|3e2.1o1	True	True	True	5	3	0	chr2	+	190528680-190530083;190526336-190530102;190528680-190530102;190526336-190530148;190528680-190530148	190526111-190526336;190526111-190526336;190528627-190528680;190528627-190528680;190528627-190528680;190530083-190530177	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/25_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#ASNSD1
CTNNB1	ENSG00000168036	ENSG00000168036:41281151-41281227:target	-0.201221267749;0.201221267749	0.66934285529;0.66934285529	0.549;0.451	0.327;0.673	t|1e1.2o2|i	False	False	False	1	2	1	chr3	+	41280845-41281151;41281150-41281151	41280624-41280845;41280846-41281150;41281151-41281227	;;	;;	(41280846, 41281150)	file:///data/THelper/./voila/dpsi/TH2e_PolyAvTotal//summaries/37_Th2_e_A_Th2_e_r.deltapsi_quantify_deltapsi.html#CTNNB1
