#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_R E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
RBBP7	ENSG00000102054	ENSG00000102054:16870674-16870751:source	0.359190848277;-0.359190848277	1.0;1.0	0.625;0.375	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chrX	-	16870751-16870872;16870751-16870752	16870674-16870751;16870752-16870871;16870872-16871093	;;	;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/35_T4_N_T4_R.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16870872-16871093:target	0.237386782163;1.28437720666e-14;0.0161909927633;-0.266709192646	0.93781673114;4.69812431183e-18;2.66655700989e-05;0.999995222	0.543;0.025;0.172;0.285	0.775;0.025;0.224;0.025	s|1e1.1o1|1e2.1o1|1e3.3o4|i	False	False	True	3	4	1	chrX	-	16870751-16870872;16870673-16870872;16870245-16870872;16870871-16870872	16870169-16870403;16870539-16870673;16870674-16870751;16870752-16870871;16870872-16871093	;;;;	;;;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/35_T4_N_T4_R.deltapsi_quantify_deltapsi.html#RBBP7
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:target	0.302447991246;-0.302447991246	0.999999999996;0.999999999996	0.680;0.320	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48700665-48700666	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/72_T4_N_T4_R.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48713209-48713357:target	0.303919150082;-0.303919150082	0.999999999996;0.999999999996	0.679;0.321	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48713208-48713209	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/72_T4_N_T4_R.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48697661-48699451:source	0.29216283539;-0.29216283539	0.999999997577;0.999999997577	0.690;0.310	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48699451-48699452	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/72_T4_N_T4_R.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:source	0.313503389092;-0.313503389092	1.0;1.0	0.669;0.331	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48700791-48700792	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/72_T4_N_T4_R.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
ERCC5	ENSG00000134899	ENSG00000134899:103497194-103498704:source	1.25984649361e-11;-0.000160465025444;0.337965561364;-0.297753263872	4.69812433342e-18;4.97830276459e-18;0.999999999456;0.999999999281	0.025;0.028;0.645;0.315	0.025;0.025;0.975;0.025	s|1e1.1o1|2e2.1o1|2e3.1o1|i	True	False	True	3	4	1	chr13	+	103498664-103501468;103498704-103501687;103498704-103504468;103498704-103498705	103497194-103498704;103498705-103501467;103501468-103501544;103501687-103501697;103504468-103504643	;;;;	;;;;	(103498705, 103501467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/87_T4_N_T4_R.deltapsi_quantify_deltapsi.html#ERCC5
ZNFX1	ENSG00000124201	ENSG00000124201:47872345-47872530:source	0.000524288300109;-0.00045829695705;0.240182372904;-0.209112987462	2.34363733427e-13;2.13180351761e-16;0.973665058473;0.913222686131	0.025;0.033;0.705;0.229	0.033;0.026;0.939;0.025	t|1e1.1o1|2e1.1o1|3e1.1o1|i	True	True	False	3	2	1	chr20	-	47872530-47873954;47872515-47873954;47872484-47873954;47872530-47872531	47872345-47872530;47872531-47873953;47873954-47874201;47873954-47874201;47873954-47874201	;;;;	;;;;	(47872531, 47873953)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/71_T4_N_T4_R.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47871032-47871186:source	0.30602108622;-0.30602108622	0.999999972024;0.999999972024	0.677;0.323	0.975;0.025	t|1e1.2o2|i	False	False	False	1	2	1	chr20	-	47871186-47872345;47871186-47871187	47871032-47871186;47871187-47872344;47872345-47872530	;;	;;	(47871187, 47872344)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/71_T4_N_T4_R.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47872345-47872530:target	0.381835472125;-0.381835472125	1.0;1.0	0.603;0.397	0.975;0.025	s|1e0|2e0|2e1.1o1|i	True	False	False	1	2	1	chr20	-	47871186-47872345;47872344-47872345	47871032-47871186;47871187-47872344;47872345-47872530	;;	;;	(47871187, 47872344)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsR//summaries/71_T4_N_T4_R.deltapsi_quantify_deltapsi.html#ZNFX1
