#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_CM E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
RBBP7	ENSG00000102054	ENSG00000102054:16870674-16870751:source	0.363035295611;-0.363035295611	1.0;1.0	0.621;0.379	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chrX	-	16870751-16870872;16870751-16870752	16870674-16870751;16870752-16870871;16870872-16871093	;;	;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/45_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16870872-16871093:target	0.20069467931;7.34550270245e-08;0.0397725830857;-0.268239658259	0.70478295623;4.5237833764e-18;0.00270782274695;0.99997424333	0.542;0.025;0.172;0.287	0.738;0.025;0.250;0.025	s|1e1.1o1|1e2.1o1|1e3.3o4|i	False	False	True	3	4	1	chrX	-	16870751-16870872;16870673-16870872;16870245-16870872;16870871-16870872	16870169-16870403;16870539-16870673;16870674-16870751;16870752-16870871;16870872-16871093	;;;;	;;;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/45_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#RBBP7
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:target	0.30267680288;-0.30267680288	1.0;1.0	0.680;0.320	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48700665-48700666	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48713209-48713357:target	0.298462186218;-0.298462186218	0.999999999801;0.999999999801	0.684;0.316	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48713208-48713209	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48697661-48699451:source	0.294429824229;-0.294429824229	0.999999999854;0.999999999854	0.688;0.312	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48699451-48699452	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:source	0.310936639469;-0.310936639469	1.0;1.0	0.672;0.328	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48700791-48700792	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
ERCC5	ENSG00000134899	ENSG00000134899:103497194-103498704:source	1.273827199e-15;-0.000133871286946;0.339183496133;-0.298751673775	4.52363713957e-18;4.78795926241e-18;1.0;0.999999999904	0.025;0.028;0.644;0.316	0.025;0.025;0.975;0.025	s|1e1.1o1|2e2.1o1|2e3.1o1|i	True	False	True	3	4	1	chr13	+	103498664-103501468;103498704-103501687;103498704-103504468;103498704-103498705	103497194-103498704;103498705-103501467;103501468-103501544;103501687-103501697;103504468-103504643	;;;;	;;;;	(103498705, 103501467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/109_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#ERCC5
ERCC5	ENSG00000134899	ENSG00000134899:103504468-103504643:target	0.263334489682;-0.00220591567118;-0.209488745229	0.999200705505;8.92239290172e-18;0.955490067424	0.691;0.076;0.229	0.947;0.052;0.025	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr13	+	103498704-103504468;103501544-103504468;103504467-103504468	103497194-103498704;103501468-103501544;103501698-103504467;103504468-103504643	;;;	;;;	(103501698, 103504467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/109_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#ERCC5
ZNFX1	ENSG00000124201	ENSG00000124201:47871032-47871186:source	0.306763024558;-0.306763024558	0.999999999537;0.999999999537	0.676;0.324	0.975;0.025	t|1e1.2o2|i	False	False	False	1	2	1	chr20	-	47871186-47872345;47871186-47871187	47871032-47871186;47871187-47872344;47872345-47872530	;;	;;	(47871187, 47872344)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47871032-47871186:target	0.266227198184;-0.266227198184	0.999841310699;0.999841310699	0.715;0.285	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	47870348-47871032;47871031-47871032	47870203-47870348;47870349-47871031;47871032-47871186	;;	;;	(47870349, 47871031)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47872345-47872530:source	0.00418048907654;-0.000390957138287;0.233934055;-0.208796706172	2.41158145955e-15;5.29557185971e-18;0.979937729078;0.922314525409	0.025;0.032;0.704;0.229	0.057;0.025;0.932;0.025	t|1e1.1o1|2e1.1o1|3e1.1o1|i	True	True	False	3	2	1	chr20	-	47872530-47873954;47872515-47873954;47872484-47873954;47872530-47872531	47872345-47872530;47872531-47873953;47873954-47874201;47873954-47874201;47873954-47874201	;;;;	;;;;	(47872531, 47873953)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsCM//summaries/90_T4_N_T4_CM.deltapsi_quantify_deltapsi.html#ZNFX1
