#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_EM E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:target	0.304112233013;-0.304112233013	1.0;1.0	0.678;0.322	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48700665-48700666	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/54_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48697661-48699451:source	0.293388532694;-0.293388532694	0.999999999826;0.999999999826	0.689;0.311	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48699451-48699452	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/54_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
ZNFX1	ENSG00000124201	ENSG00000124201:47871032-47871186:source	0.30574365031;-0.30574365031	0.999999995997;0.999999995997	0.677;0.323	0.975;0.025	t|1e1.2o2|i	False	False	False	1	2	1	chr20	-	47871186-47872345;47871186-47871187	47871032-47871186;47871187-47872344;47872345-47872530	;;	;;	(47871187, 47872344)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/54_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47872345-47872530:source	0.00161567038679;-0.000179484466196;0.215372637716;-0.206856477117	7.6928341901e-12;3.26092266792e-15;0.86345161502;0.911082316138	0.025;0.033;0.707;0.227	0.049;0.029;0.917;0.025	t|1e1.1o1|2e1.1o1|3e1.1o1|i	True	True	False	3	2	1	chr20	-	47872530-47873954;47872515-47873954;47872484-47873954;47872530-47872531	47872345-47872530;47872531-47873953;47873954-47874201;47873954-47874201;47873954-47874201	;;;;	;;;;	(47872531, 47873953)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/54_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47872345-47872530:target	0.379755556088;-0.379755556088	1.0;1.0	0.605;0.395	0.975;0.025	s|1e0|2e0|2e1.1o1|i	True	False	False	1	2	1	chr20	-	47871186-47872345;47872344-47872345	47871032-47871186;47871187-47872344;47872345-47872530	;;	;;	(47871187, 47872344)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/54_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#ZNFX1
BRAT1	ENSG00000106009	ENSG00000106009:2580932-2581118:source	0.413648522894;-0.413648522894	1.0;1.0	0.572;0.428	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2581118-2581352;2581118-2581119	2580932-2581118;2581119-2581351;2581352-2581470	;;	;;	(2581119, 2581351)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/32_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2580932-2581118:target	0.286315596197;-0.286315596197	0.999986809284;0.999986809284	0.696;0.304	0.975;0.025	s|1e1.1o2|i	False	False	False	1	2	1	chr7	-	2580686-2580932;2580931-2580932	2580613-2580686;2580687-2580931;2580932-2581118	;;	;;	(2580687, 2580931)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/32_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2581352-2581470:target	0.432675759555;-0.432675759555	1.0;1.0	0.553;0.447	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2581118-2581352;2581351-2581352	2580932-2581118;2581119-2581351;2581352-2581470	;;	;;	(2581119, 2581351)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/32_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#BRAT1
MADD	ENSG00000110514	ENSG00000110514:47296114-47296710:target	-0.0509194904527;0.220289112604;-0.157118763979	1.11894493186e-10;0.900448535479;0.286473892113	0.086;0.173;0.738	0.025;0.388;0.583	t|1e1.1o2|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr11	+	47291301-47296114;47291797-47296114;47295527-47296114	47291223-47291457;47291699-47291797;47295378-47295527;47296114-47296710	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/38_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#MADD
MADD	ENSG00000110514	ENSG00000110514:47295378-47295527:target	-2.38766137755e-10;-0.0424388843931;-0.182303350804;-0.0130346628829;0.28579210887;8.09353443007e-16	4.07526514552e-18;3.42587189405e-16;0.536425999205;3.19948128182e-17;0.998131910499;4.07526450414e-18	0.025;0.076;0.352;0.074;0.492;0.025	0.025;0.025;0.174;0.029;0.771;0.025	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1|1e5.1o1	True	False	True	6	6	0	chr11	+	47290834-47295378;47291195-47295378;47291301-47295378;47291457-47295378;47291797-47295378;47293881-47295378	47290712-47290834;47290927-47291195;47291223-47291457;47291223-47291457;47291699-47291797;47293795-47293881;47295378-47295527	;;;;;;	;;;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/38_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#MADD
