#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_1 E(PSI)	T4_2 E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
HNRNPH3	ENSG00000096746	ENSG00000096746:70098097-70098444:target	-0.11227707706;0.296141979554;-0.176226388928	0.0261986411636;0.999920218672;0.500123746647	0.459;0.184;0.355	0.339;0.473;0.183	t|1e0|2e1.1o1|2e2.1o1|i	False	True	True	2	3	1	chr10	+	70097090-70098260;70097753-70098260;70098096-70098097	70096563-70097090;70097373-70097753;70097754-70098096;70098097-70098444	;;;	;;;	(70097754, 70098096)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/34_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HNRNPH3
HNRNPH3	ENSG00000096746	ENSG00000096746:70097373-70097753:source	0.383236225371;-0.383236225371	0.999999999959;0.999999999959	0.257;0.743	0.631;0.369	s|1e1.2o2|i	False	False	False	1	2	1	chr10	+	70097753-70098260;70097753-70097754	70097373-70097753;70097754-70098096;70098097-70098444	;;	;;	(70097754, 70098096)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/34_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HNRNPH3
HNRNPH3	ENSG00000096746	ENSG00000096746:70101342-70101437:target	-0.227086888162;0.227086888162	0.997384914959;0.997384914959	0.975;0.025	0.754;0.246	t|1e1.2o2|i	False	False	False	1	2	1	chr10	+	70101066-70101342;70101341-70101342	70100931-70101066;70101067-70101341;70101342-70101437	;;	;;	(70101067, 70101341)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/34_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HNRNPH3
HNRNPH3	ENSG00000096746	ENSG00000096746:70097373-70097753:target	0.380933467337;-0.380933467337	0.99999999994;0.99999999994	0.190;0.810	0.562;0.438	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr10	+	70097090-70097615;70097372-70097373	70096563-70097090;70097091-70097372;70097373-70097753	;;	;;	(70097091, 70097372)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/34_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HNRNPH3
HNRNPH3	ENSG00000096746	ENSG00000096746:70098097-70098444:source	-0.0875348360631;0.271616916946;-0.165188822372	0.0106253329295;0.999783256717;0.319656719468	0.428;0.153;0.420	0.325;0.418;0.259	s|1e1.2o2|2e0|3e1.2o2|i	True	True	False	2	2	1	chr10	+	70098399-70098897;70098444-70098897;70098444-70098445	70098097-70098444;70098445-70098562;70098563-70098983;70098563-70098983	;;;	;;;	(70098445, 70098562)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/34_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HNRNPH3
HNRNPH3	ENSG00000096746	ENSG00000096746:70096563-70097090:source	0.300085320558;0.00130592682894;-0.290227586852;-0.00210332064328	0.999999763634;2.0523191565e-14;0.9999921706;1.20128292734e-15	0.079;0.278;0.411;0.224	0.371;0.289;0.128;0.207	s|1e1.2o2|1e2.2o2|1e3.2o2|i	False	False	True	3	4	1	chr10	+	70097090-70097615;70097090-70098260;70097090-70098897;70097090-70097091	70096563-70097090;70097091-70097372;70097373-70097753;70098097-70098444;70098563-70098983	;;;;	;;;;	(70097091, 70097372)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/34_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HNRNPH3
HNRNPH3	ENSG00000096746	ENSG00000096746:70098563-70098983:target	-0.223408996013;0.00375658581783;0.259257655597;-0.0124981922089	0.996537757235;1.80018421019e-11;0.997796136535;4.36602255064e-11	0.343;0.244;0.078;0.324	0.125;0.260;0.330;0.286	t|1e0|2e1.1o1|2e2.1o3|2e2.3o3|i	True	True	True	3	3	1	chr10	+	70097090-70098897;70098399-70098897;70098444-70098897;70098562-70098563	70096563-70097090;70098097-70098444;70098097-70098444;70098445-70098562;70098563-70098983	;;;;	;;;;	(70098445, 70098562)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/34_T4_1_T4_2.deltapsi_quantify_deltapsi.html#HNRNPH3
CHCHD3	ENSG00000106554	ENSG00000106554:132659914-132660046:target	-0.270850583444;0.27185293602;-6.21641206037e-07	0.967375451341;0.966102594723;1.47187116668e-14	0.297;0.700;0.025	0.033;0.965;0.025	s|1e1.1o1|1e2.1o1|2e2.1o1	True	True	True	3	3	0	chr7	-	132658784-132659929;132570505-132659929;132570505-132659914	132570422-132570505;132570422-132570505;132658188-132658784;132659914-132660046	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/51_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CHCHD3
CSE1L	ENSG00000124207	ENSG00000124207:47710677-47710823:source	-0.22229784093;0.222206569675;2.28946494843e-09	0.816301185638;0.815722538314;3.89825499969e-18	0.387;0.612;0.025	0.170;0.829;0.025	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr20	+	47710823-47711015;47710823-47711269;47710823-47710824	47710677-47710823;47710824-47711014;47711015-47711151;47711269-47711500	;;;	;;;	(47710824, 47711014)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/80_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CSE1L
CSE1L	ENSG00000124207	ENSG00000124207:47711269-47711500:target	0.265239730556;-0.265239730556	0.962477505169;0.962477505169	0.598;0.402	0.856;0.144	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr20	+	47710823-47711269;47711151-47711269	47710677-47710823;47711015-47711151;47711269-47711500	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH2//summaries/80_T4_1_T4_2.deltapsi_quantify_deltapsi.html#CSE1L
